Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsOn_apple_kitchencabinet & IsNear_self_faucet & IsIn_plate_garbagecan,"['Walk_apple', 'LeftGrab_apple', 'Walk_plate', 'RightGrab_plate', 'Walk_kitchencabinet', 'LeftPut_apple_kitchencabinet', 'Walk_garbagecan', 'RightPutIn_plate_garbagecan', 'Walk_faucet']","['Walk_apple', 'RightGrab_apple', 'Walk_kitchencabinet', 'RightPut_apple_kitchencabinet', 'Walk_faucet', 'RightGrab_faucet', 'Walk_plate', 'RightPutIn_plate_garbagecan']","['Walk', 'LeftGrab', 'RightGrab', 'LeftPut', 'RightPutIn']","['apple', 'plate', 'kitchencabinet', 'garbagecan', 'faucet']",False,False,347,352,347,0.08814764022827148,101,9,"['Walk(apple)', 'RightGrab(apple)', 'Walk(kitchencabinet)', 'RightPut(apple,kitchencabinet)', 'Walk(plate)', 'RightGrab(plate)', 'Walk(garbagecan)', 'RightPutIn(plate,garbagecan)', 'Walk(faucet)']",8935
IsNear_self_kitchentable & IsClean_apple,"['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple', 'Walk_kitchentable']","['Walk_kitchentable', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk', 'RightGrab', 'SwitchOn', 'Wash']","['apple', 'faucet', 'kitchentable']",False,False,26,62,26,0.005746603012084961,67,6,"['Walk(apple)', 'RightGrab(apple)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Wash(apple)', 'Walk(kitchentable)']",471
IsOn_apple_kitchencabinet & IsOpen_window & IsPlugged_tv,"['Walk_apple', 'RightGrab_apple', 'Walk_tv', 'PlugIn_tv', 'Walk_window', 'Open_window', 'Walk_kitchencabinet', 'RightPut_apple_kitchencabinet']","['Walk_apple', 'RightGrab_apple', 'Walk_kitchencabinet', 'RightPut_apple_kitchencabinet', 'Walk_window', 'Open_window', 'Walk_tv', 'PlugIn_tv']","['Walk', 'RightGrab', 'PlugIn', 'Open', 'RightPut']","['apple', 'tv', 'window', 'kitchencabinet']",False,False,1157,1719,1157,0.5261995792388916,82,8,"['Walk(window)', 'Open(window)', 'Walk(apple)', 'RightGrab(apple)', 'Walk(kitchencabinet)', 'RightPut(apple,kitchencabinet)', 'Walk(tv)', 'PlugIn(tv)']",16520
IsOn_plate_kitchentable & IsNear_self_kitchentable,"['Walk_plate', 'LeftGrab_plate', 'Walk_kitchentable', 'LeftPut_plate_kitchentable']","['Walk_kitchentable', 'RightGrab_plate', 'RightPut_plate_kitchentable']","['Walk', 'LeftGrab', 'LeftPut']","['plate', 'kitchentable']",False,False,9,10,9,0.001407623291015625,41,4,"['Walk(plate)', 'RightGrab(plate)', 'Walk(kitchentable)', 'RightPut(plate,kitchentable)']",95
IsSwitchedOn_candle & IsNear_self_fridge,"['Walk_candle', 'SwitchOn_candle', 'Walk_fridge']","['Walk_candle', 'SwitchOn_candle']","['Walk', 'SwitchOn']","['candle', 'fridge']",False,False,4,4,4,0.0007658004760742188,38,3,"['Walk(candle)', 'SwitchOn(candle)', 'Walk(fridge)']",57
IsOpen_microwave & IsSwitchedOn_tv & IsNear_self_candle,"['Walk_tv', 'PlugIn_tv', 'SwitchOn_tv', 'Walk_microwave', 'Open_microwave', 'Walk_candle']","['Walk_microwave', 'Open_microwave', 'Walk_tv', 'SwitchOn_tv', 'Walk_candle']","['Walk', 'PlugIn', 'SwitchOn', 'Open']","['tv', 'microwave', 'candle']",False,False,233,482,233,0.06222343444824219,64,6,"['Walk(microwave)', 'Open(microwave)', 'Walk(tv)', 'PlugIn(tv)', 'SwitchOn(tv)', 'Walk(candle)']",3827
IsSwitchedOn_faucet & IsCut_apple,"['Walk_faucet', 'SwitchOn_faucet', 'Walk_apple', 'LeftGrab_apple', 'Walk_kitchenknife', 'RightGrab_kitchenknife', 'Cut_apple']","['Walk_faucet', 'SwitchOn_faucet', 'Walk_apple', 'RightGrab_apple', 'Walk_kitchenknife', 'RightGrab_kitchenknife', 'Cut_apple']","['Walk', 'SwitchOn', 'LeftGrab', 'RightGrab', 'Cut']","['faucet', 'apple', 'kitchenknife']",False,True,87,87,87,0.017874479293823242,0,0,[],6
IsClean_kitchenknife & IsOpen_microwave,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_microwave', 'Open_microwave', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_kitchenknife']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_microwave', 'Open_microwave']","['Walk', 'RightGrab', 'Open', 'SwitchOn', 'Wash']","['kitchenknife', 'microwave', 'faucet']",False,False,456,963,456,0.16116547584533691,70,7,"['Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Walk(microwave)', 'Open(microwave)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Wash(kitchenknife)']",7351
IsClean_candle & IsOpen_kitchencabinet,"['Walk_rag', 'RightGrab_rag', 'Walk_kitchencabinet', 'Open_kitchencabinet', 'Walk_candle', 'Wipe_candle']","['Walk_candle', 'RightGrab_candle', 'Walk_kitchencabinet', 'Open_kitchencabinet']","['Walk', 'RightGrab', 'Open', 'Wipe']","['rag', 'kitchencabinet', 'candle']",False,False,140,251,140,0.030680418014526367,62,6,"['Walk(rag)', 'RightGrab(rag)', 'Walk(candle)', 'Wipe(candle)', 'Walk(kitchencabinet)', 'Open(kitchencabinet)']",1832
IsSwitchedOn_candle & IsNear_self_kitchentable & IsSwitchedOn_faucet,"['Walk_faucet', 'SwitchOn_faucet', 'Walk_candle', 'SwitchOn_candle', 'Walk_kitchentable']","['Walk_candle', 'SwitchOn_candle', 'Walk_self', 'Walk_kitchentable', 'SwitchOn_faucet']","['Walk', 'SwitchOn']","['faucet', 'candle', 'kitchentable']",False,False,93,178,93,0.018021345138549805,61,5,"['Walk(faucet)', 'SwitchOn(faucet)', 'Walk(candle)', 'SwitchOn(candle)', 'Walk(kitchentable)']",1267
