Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,3,3,3,0.0005319118499755859,18,2,"['Walk(fridge)', 'Open(fridge)']",32
IsOn_rag_kitchentable,"['Walk_rag', 'LeftGrab_rag', 'Walk_kitchentable', 'LeftPut_rag_kitchentable']","['Walk_rag', 'RightGrab_rag', 'Walk_kitchentable', 'RightPut_rag_kitchentable']","['Walk', 'LeftGrab', 'LeftPut']","['rag', 'kitchentable']",False,False,5,6,5,0.0007464885711669922,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(kitchentable)', 'LeftPut(rag,kitchentable)']",64
IsCut_cutlets,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk', 'RightGrab', 'LeftGrab', 'Cut']","['kitchenknife', 'cutlets']",False,False,9,87,9,0.0025072097778320312,57,5,"['Walk(cutlets)', 'LeftGrab(cutlets)', 'Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Cut(cutlets)']",133
IsClean_fridge,"['Walk_rag', 'LeftGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk_rag', 'RightGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'fridge']",False,False,5,6,5,0.0008130073547363281,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(fridge)', 'Wipe(fridge)']",64
IsClean_fridge,"['Walk_rag', 'LeftGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk_rag', 'RightGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'fridge']",False,False,5,6,5,0.0007946491241455078,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(fridge)', 'Wipe(fridge)']",64
IsNear_self_microwave,['Walk_microwave'],['Walk_microwave'],['Walk'],['microwave'],False,False,2,2,2,0.00023746490478515625,15,1,['Walk(microwave)'],11
IsOn_apple_kitchencabinet,"['Walk_apple', 'LeftGrab_apple', 'Walk_kitchencabinet', 'LeftPut_apple_kitchencabinet']","['Walk_apple', 'RightGrab_apple', 'Walk_kitchencabinet', 'RightPut_apple_kitchencabinet']","['Walk', 'LeftGrab', 'LeftPut']","['apple', 'kitchencabinet']",False,False,5,6,5,0.0007498264312744141,52,4,"['Walk(apple)', 'LeftGrab(apple)', 'Walk(kitchencabinet)', 'LeftPut(apple,kitchencabinet)']",64
IsOpen_microwave,"['Walk_microwave', 'Open_microwave']","['Walk_microwave', 'Open_microwave']","['Walk', 'Open']",['microwave'],False,False,3,4,3,0.0005655288696289062,18,2,"['Walk(microwave)', 'Open(microwave)']",32
IsOn_rag_bed,"['Walk_rag', 'LeftGrab_rag', 'Walk_bed', 'LeftPut_rag_bed']","['Walk_rag', 'RightGrab_rag', 'Walk_bed', 'RightPut_rag_bed']","['Walk', 'LeftGrab', 'LeftPut']","['rag', 'bed']",False,False,5,6,5,0.0007562637329101562,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(bed)', 'LeftPut(rag,bed)']",64
IsPlugged_fridge,"['Walk_fridge', 'PlugIn_fridge']","['Walk_fridge', 'PlugIn_fridge']","['Walk', 'PlugIn']",['fridge'],False,False,3,3,3,0.0005269050598144531,23,2,"['Walk(fridge)', 'PlugIn(fridge)']",32
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,3,3,3,0.0005164146423339844,18,2,"['Walk(fridge)', 'Open(fridge)']",32
IsCut_cutlets,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk', 'RightGrab', 'LeftGrab', 'Cut']","['kitchenknife', 'cutlets']",False,False,9,87,9,0.002543210983276367,57,5,"['Walk(cutlets)', 'LeftGrab(cutlets)', 'Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Cut(cutlets)']",133
IsNear_self_rag,['Walk_rag'],['Walk_rag'],['Walk'],['rag'],False,False,2,2,2,0.0001614093780517578,15,1,['Walk(rag)'],11
IsSwitchedOn_candle,"['Walk_candle', 'SwitchOn_candle']","['Walk_candle', 'SwitchOn_candle']","['Walk', 'SwitchOn']",['candle'],False,False,3,3,3,0.0004520416259765625,23,2,"['Walk(candle)', 'SwitchOn(candle)']",32
IsNear_self_microwave,['Walk_microwave'],['Walk_microwave'],['Walk'],['microwave'],False,False,2,2,2,0.00022459030151367188,15,1,['Walk(microwave)'],11
IsOn_plate_kitchentable,"['Walk_plate', 'LeftGrab_plate', 'Walk_kitchentable', 'LeftPut_plate_kitchentable']","['Walk_plate', 'RightGrab_plate', 'Walk_kitchentable', 'RightPut_plate_kitchentable']","['Walk', 'LeftGrab', 'LeftPut']","['plate', 'kitchentable']",False,False,5,6,5,0.0007131099700927734,52,4,"['Walk(plate)', 'LeftGrab(plate)', 'Walk(kitchentable)', 'LeftPut(plate,kitchentable)']",64
IsNear_self_wine,['Walk_wine'],['Walk_wine'],['Walk'],['wine'],False,False,2,2,2,0.00016450881958007812,15,1,['Walk(wine)'],11
IsClean_bed,"['Walk_rag', 'LeftGrab_rag', 'Walk_bed', 'Wipe_bed']","['Walk_bed', 'RightGrab_rag', 'Wipe_bed']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'bed']",False,False,5,6,5,0.0007572174072265625,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(bed)', 'Wipe(bed)']",64
IsOpen_microwave,"['Walk_microwave', 'Open_microwave']","['Walk_microwave', 'Open_microwave']","['Walk', 'Open']",['microwave'],False,False,3,4,3,0.0005626678466796875,18,2,"['Walk(microwave)', 'Open(microwave)']",32
IsClean_kitchenknife,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_kitchenknife']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_kitchenknife']","['Walk', 'RightGrab', 'SwitchOn', 'Wash']","['kitchenknife', 'faucet']",False,False,9,87,9,0.002727508544921875,52,5,"['Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Wash(kitchenknife)']",104
IsIn_plate_garbagecan,"['Walk_plate', 'LeftGrab_plate', 'Walk_garbagecan', 'LeftPutIn_plate_garbagecan']","['Walk_plate', 'RightGrab_plate', 'Walk_garbagecan', 'RightPutIn_plate_garbagecan']","['Walk', 'LeftGrab', 'LeftPutIn']","['plate', 'garbagecan']",False,False,5,6,5,0.0007226467132568359,56,4,"['Walk(plate)', 'LeftGrab(plate)', 'Walk(garbagecan)', 'LeftPutIn(plate,garbagecan)']",64
IsNear_self_microwave,['Walk_microwave'],['Walk_microwave'],['Walk'],['microwave'],False,False,2,2,2,0.00023126602172851562,15,1,['Walk(microwave)'],11
IsIn_plate_fridge,"['Walk_plate', 'RightGrab_plate', 'Walk_fridge', 'PlugIn_fridge', 'Open_fridge', 'RightPutIn_plate_fridge']","['Walk_plate', 'RightGrab_plate', 'Walk_fridge', 'Open_fridge', 'PutIn_plate_fridge']","['Walk', 'RightGrab', 'PlugIn', 'Open', 'RightPutIn']","['plate', 'fridge']",False,False,22,275,22,0.011065959930419922,56,6,"['Walk(plate)', 'RightGrab(plate)', 'Walk(fridge)', 'Open(fridge)', 'PlugIn(fridge)', 'RightPutIn(plate,fridge)']",301
IsClean_tv,"['Walk_rag', 'LeftGrab_rag', 'Walk_tv', 'Wipe_tv']","['Walk_rag', 'RightGrab_rag', 'Walk_tv', 'Wipe_tv']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'tv']",False,False,5,6,5,0.0007627010345458984,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(tv)', 'Wipe(tv)']",64
IsSwitchedOn_microwave,"['Walk_microwave', 'PlugIn_microwave', 'SwitchOn_microwave']","['Walk_microwave', 'SwitchOn_microwave']","['Walk', 'PlugIn', 'SwitchOn']",['microwave'],False,False,5,44,5,0.0016238689422607422,31,3,"['Walk(microwave)', 'PlugIn(microwave)', 'SwitchOn(microwave)']",67
IsOn_rag_bed,"['Walk_rag', 'LeftGrab_rag', 'Walk_bed', 'LeftPut_rag_bed']","['Walk_rag', 'RightGrab_rag', 'Walk_bed', 'RightPut_rag_bed']","['Walk', 'LeftGrab', 'LeftPut']","['rag', 'bed']",False,False,5,6,5,0.0007398128509521484,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(bed)', 'LeftPut(rag,bed)']",64
IsNear_self_wine,['Walk_wine'],"['Walk_wine', 'RightGrab_wine']",['Walk'],['wine'],False,False,2,2,2,0.00016164779663085938,15,1,['Walk(wine)'],11
IsOn_apple_bed,"['Walk_apple', 'LeftGrab_apple', 'Walk_bed', 'LeftPut_apple_bed']","['Walk_apple', 'RightGrab_apple', 'Walk_bed', 'RightPut_apple_bed']","['Walk', 'LeftGrab', 'LeftPut']","['apple', 'bed']",False,False,5,6,5,0.0007390975952148438,52,4,"['Walk(apple)', 'LeftGrab(apple)', 'Walk(bed)', 'LeftPut(apple,bed)']",64
IsSwitchedOn_candle,"['Walk_candle', 'SwitchOn_candle']","['Walk_candle', 'SwitchOn_candle']","['Walk', 'SwitchOn']",['candle'],False,False,3,3,3,0.00043272972106933594,23,2,"['Walk(candle)', 'SwitchOn(candle)']",32
IsClean_window,"['Walk_rag', 'LeftGrab_rag', 'Walk_window', 'Wipe_window']","['Walk_rag', 'RightGrab_rag', 'Walk_window', 'Wipe_window']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'window']",False,False,5,6,5,0.0007486343383789062,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(window)', 'Wipe(window)']",64
IsCut_cutlets,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk', 'RightGrab', 'LeftGrab', 'Cut']","['kitchenknife', 'cutlets']",False,False,9,87,9,0.002523183822631836,57,5,"['Walk(cutlets)', 'LeftGrab(cutlets)', 'Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Cut(cutlets)']",133
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,3,3,3,0.0005152225494384766,18,2,"['Walk(fridge)', 'Open(fridge)']",32
IsIn_wine_microwave,"['Walk_wine', 'RightGrab_wine', 'Walk_microwave', 'Open_microwave', 'PlugIn_microwave', 'RightPutIn_wine_microwave']","['Walk_wine', 'RightGrab_wine', 'Walk_microwave']","['Walk', 'RightGrab', 'Open', 'PlugIn', 'RightPutIn']","['wine', 'microwave']",False,False,17,173,17,0.007452964782714844,56,6,"['Walk(wine)', 'RightGrab(wine)', 'Walk(microwave)', 'Open(microwave)', 'PlugIn(microwave)', 'RightPutIn(wine,microwave)']",235
IsNear_self_cutlets,['Walk_cutlets'],['Walk_cutlets'],['Walk'],['cutlets'],False,False,2,2,2,0.0001609325408935547,15,1,['Walk(cutlets)'],11
IsSwitchedOn_faucet,"['Walk_faucet', 'SwitchOn_faucet']","['Walk_faucet', 'SwitchOn_faucet']","['Walk', 'SwitchOn']",['faucet'],False,False,3,3,3,0.0004825592041015625,23,2,"['Walk(faucet)', 'SwitchOn(faucet)']",32
IsNear_self_apple,['Walk_apple'],"['Walk_apple', 'RightGrab_apple']",['Walk'],['apple'],False,False,2,2,2,0.00016069412231445312,15,1,['Walk(apple)'],11
IsPlugged_fridge,"['Walk_fridge', 'PlugIn_fridge']","['Walk_fridge', 'PlugIn_fridge']","['Walk', 'PlugIn']",['fridge'],False,False,3,3,3,0.0005195140838623047,23,2,"['Walk(fridge)', 'PlugIn(fridge)']",32
IsIn_wine_fridge,"['Walk_wine', 'RightGrab_wine', 'Walk_fridge', 'Open_fridge', 'PlugIn_fridge', 'RightPutIn_wine_fridge']","['Walk_wine', 'RightGrab_wine', 'Walk_fridge']","['Walk', 'RightGrab', 'Open', 'PlugIn', 'RightPutIn']","['wine', 'fridge']",False,False,22,275,22,0.01073765754699707,56,6,"['Walk(wine)', 'RightGrab(wine)', 'Walk(fridge)', 'Open(fridge)', 'PlugIn(fridge)', 'RightPutIn(wine,fridge)']",301
IsSwitchedOn_faucet,"['Walk_faucet', 'SwitchOn_faucet']","['Walk_faucet', 'SwitchOn_faucet']","['Walk', 'SwitchOn']",['faucet'],False,False,3,3,3,0.0005044937133789062,23,2,"['Walk(faucet)', 'SwitchOn(faucet)']",32
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,3,3,3,0.0005223751068115234,18,2,"['Walk(fridge)', 'Open(fridge)']",32
IsNear_self_candle,['Walk_candle'],"['Walk_candle', 'RightGrab_candle']",['Walk'],['candle'],False,False,2,2,2,0.0001685619354248047,15,1,['Walk(candle)'],11
IsClean_apple,"['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk', 'RightGrab', 'SwitchOn', 'Wash']","['apple', 'faucet']",False,False,9,87,9,0.002620220184326172,52,5,"['Walk(apple)', 'RightGrab(apple)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Wash(apple)']",104
IsIn_plate_kitchencabinet,"['Walk_plate', 'RightGrab_plate', 'Walk_kitchencabinet', 'Open_kitchencabinet', 'RightPutIn_plate_kitchencabinet']","['Walk_plate', 'RightGrab_plate', 'Walk_kitchencabinet']","['Walk', 'RightGrab', 'Open', 'RightPutIn']","['plate', 'kitchencabinet']",False,False,9,88,9,0.0028722286224365234,48,5,"['Walk(plate)', 'RightGrab(plate)', 'Walk(kitchencabinet)', 'Open(kitchencabinet)', 'RightPutIn(plate,kitchencabinet)']",104
IsNear_self_kitchentable,['Walk_kitchentable'],['Walk_kitchentable'],['Walk'],['kitchentable'],False,False,2,2,2,0.00018310546875,15,1,['Walk(kitchentable)'],11
IsClean_apple,"['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk', 'RightGrab', 'SwitchOn', 'Wash']","['apple', 'faucet']",False,False,9,87,9,0.002674579620361328,52,5,"['Walk(apple)', 'RightGrab(apple)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Wash(apple)']",104
IsIn_wine_microwave,"['Walk_wine', 'RightGrab_wine', 'Walk_microwave', 'Open_microwave', 'PlugIn_microwave', 'RightPutIn_wine_microwave']","['Walk_wine', 'RightGrab_wine', 'Walk_microwave']","['Walk', 'RightGrab', 'Open', 'PlugIn', 'RightPutIn']","['wine', 'microwave']",False,False,17,173,17,0.007599353790283203,56,6,"['Walk(wine)', 'RightGrab(wine)', 'Walk(microwave)', 'Open(microwave)', 'PlugIn(microwave)', 'RightPutIn(wine,microwave)']",235
IsIn_kitchenknife_garbagecan,"['Walk_kitchenknife', 'LeftGrab_kitchenknife', 'Walk_garbagecan', 'LeftPutIn_kitchenknife_garbagecan']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_garbagecan', 'RightPutIn_kitchenknife_garbagecan']","['Walk', 'LeftGrab', 'LeftPutIn']","['kitchenknife', 'garbagecan']",False,False,5,6,5,0.0007121562957763672,56,4,"['Walk(kitchenknife)', 'LeftGrab(kitchenknife)', 'Walk(garbagecan)', 'LeftPutIn(kitchenknife,garbagecan)']",64
IsNear_self_bed,['Walk_bed'],['Walk_bed'],['Walk'],['bed'],False,False,2,2,2,0.00019073486328125,15,1,['Walk(bed)'],11
IsPlugged_microwave,"['Walk_microwave', 'PlugIn_microwave']","['Walk_microwave', 'Open_microwave', 'PlugIn_microwave']","['Walk', 'PlugIn']",['microwave'],False,False,3,3,3,0.0005207061767578125,23,2,"['Walk(microwave)', 'PlugIn(microwave)']",32
IsClean_apple,"['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk', 'RightGrab', 'SwitchOn', 'Wash']","['apple', 'faucet']",False,False,9,87,9,0.0026781558990478516,52,5,"['Walk(apple)', 'RightGrab(apple)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Wash(apple)']",104
IsClean_fridge,"['Walk_rag', 'LeftGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk_rag', 'RightGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'fridge']",False,False,5,6,5,0.00083160400390625,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(fridge)', 'Wipe(fridge)']",64
IsOn_wine_kitchencabinet,"['Walk_wine', 'LeftGrab_wine', 'Walk_kitchencabinet', 'LeftPut_wine_kitchencabinet']","['Walk_wine', 'RightGrab_wine', 'Walk_kitchencabinet', 'RightPut_wine_kitchencabinet']","['Walk', 'LeftGrab', 'LeftPut']","['wine', 'kitchencabinet']",False,False,5,6,5,0.0007550716400146484,52,4,"['Walk(wine)', 'LeftGrab(wine)', 'Walk(kitchencabinet)', 'LeftPut(wine,kitchencabinet)']",64
IsPlugged_tv,"['Walk_tv', 'PlugIn_tv']","['Walk_tv', 'RightGrab_tv', 'Walk_mouse', 'RightPut_tv_mouse', 'PlugIn_tv']","['Walk', 'PlugIn']",['tv'],False,False,3,3,3,0.00046539306640625,23,2,"['Walk(tv)', 'PlugIn(tv)']",32
IsSwitchedOn_microwave,"['Walk_microwave', 'PlugIn_microwave', 'SwitchOn_microwave']","['Walk_microwave', 'SwitchOn_microwave']","['Walk', 'PlugIn', 'SwitchOn']",['microwave'],False,False,5,44,5,0.0016384124755859375,31,3,"['Walk(microwave)', 'PlugIn(microwave)', 'SwitchOn(microwave)']",67
IsClean_apple,"['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk_apple', 'RightGrab_apple', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_apple']","['Walk', 'RightGrab', 'SwitchOn', 'Wash']","['apple', 'faucet']",False,False,9,87,9,0.0026929378509521484,52,5,"['Walk(apple)', 'RightGrab(apple)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Wash(apple)']",104
IsClean_kitchentable,"['Walk_rag', 'LeftGrab_rag', 'Walk_kitchentable', 'Wipe_kitchentable']","['Walk_rag', 'RightGrab_rag', 'Walk_kitchentable', 'Wipe_kitchentable']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'kitchentable']",False,False,5,6,5,0.0007684230804443359,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(kitchentable)', 'Wipe(kitchentable)']",64
IsNear_self_cutlets,['Walk_cutlets'],"['Walk_kitchentable', 'RightGrab_rag', 'Walk_garbagecan', 'RightPutIn_rag_garbagecan']",['Walk'],['cutlets'],False,False,2,2,2,0.00017976760864257812,15,1,['Walk(cutlets)'],11
IsCut_cutlets,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']",['Walk_cutlets'],"['Walk', 'RightGrab', 'LeftGrab', 'Cut']","['kitchenknife', 'cutlets']",False,False,9,87,9,0.002548694610595703,57,5,"['Walk(cutlets)', 'LeftGrab(cutlets)', 'Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Cut(cutlets)']",133
IsSwitchedOn_microwave,"['Walk_microwave', 'PlugIn_microwave', 'SwitchOn_microwave']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk', 'PlugIn', 'SwitchOn']",['microwave'],False,False,5,44,5,0.0016398429870605469,31,3,"['Walk(microwave)', 'PlugIn(microwave)', 'SwitchOn(microwave)']",67
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_microwave', 'SwitchOn_microwave']","['Walk', 'Open']",['fridge'],False,False,3,3,3,0.0005259513854980469,18,2,"['Walk(fridge)', 'Open(fridge)']",32
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,3,3,3,0.0005364418029785156,18,2,"['Walk(fridge)', 'Open(fridge)']",32
IsOn_plate_kitchentable,"['Walk_plate', 'LeftGrab_plate', 'Walk_kitchentable', 'LeftPut_plate_kitchentable']","['Walk_fridge', 'Open_fridge']","['Walk', 'LeftGrab', 'LeftPut']","['plate', 'kitchentable']",False,False,5,6,5,0.0007388591766357422,52,4,"['Walk(plate)', 'LeftGrab(plate)', 'Walk(kitchentable)', 'LeftPut(plate,kitchentable)']",64
IsOn_apple_kitchentable,"['Walk_apple', 'LeftGrab_apple', 'Walk_kitchentable', 'LeftPut_apple_kitchentable']","['Walk_plate', 'RightGrab_plate', 'Walk_kitchentable', 'RightPut_plate_kitchentable']","['Walk', 'LeftGrab', 'LeftPut']","['apple', 'kitchentable']",False,False,5,6,5,0.0007038116455078125,52,4,"['Walk(apple)', 'LeftGrab(apple)', 'Walk(kitchentable)', 'LeftPut(apple,kitchentable)']",64
IsPlugged_microwave,"['Walk_microwave', 'PlugIn_microwave']","['Walk_apple', 'RightGrab_apple', 'Walk_kitchentable', 'RightPut_apple_kitchentable']","['Walk', 'PlugIn']",['microwave'],False,False,3,3,3,0.0005278587341308594,23,2,"['Walk(microwave)', 'PlugIn(microwave)']",32
IsClean_bed,"['Walk_rag', 'LeftGrab_rag', 'Walk_bed', 'Wipe_bed']","['Walk_microwave', 'PlugIn_microwave']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'bed']",False,False,5,6,5,0.0007598400115966797,52,4,"['Walk(rag)', 'LeftGrab(rag)', 'Walk(bed)', 'Wipe(bed)']",64
IsOpen_kitchencabinet,"['Walk_kitchencabinet', 'Open_kitchencabinet']",['Walk_bed'],"['Walk', 'Open']",['kitchencabinet'],False,False,3,9,3,0.000560760498046875,18,2,"['Walk(kitchencabinet)', 'Open(kitchencabinet)']",32
IsIn_plate_kitchencabinet,"['Walk_plate', 'RightGrab_plate', 'Walk_kitchencabinet', 'Open_kitchencabinet', 'RightPutIn_plate_kitchencabinet']","['Walk_kitchencabinet', 'Open_kitchencabinet']","['Walk', 'RightGrab', 'Open', 'RightPutIn']","['plate', 'kitchencabinet']",False,False,9,88,9,0.0032613277435302734,48,5,"['Walk(plate)', 'RightGrab(plate)', 'Walk(kitchencabinet)', 'Open(kitchencabinet)', 'RightPutIn(plate,kitchencabinet)']",104
