Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsSwitchedOn_microwave & IsNear_self_chips & IsSwitchedOn_microwave,"['Walk_microwave', 'SwitchOn_microwave', 'Walk_chips']","['Walk_chips', 'RightGrab_chips', 'Walk_microwave', 'SwitchOn_microwave']","['Walk', 'SwitchOn']","['microwave', 'chips']",False,False,4,20,4,0.0014543533325195312,38,3,"['Walk(microwave)', 'SwitchOn(microwave)', 'Walk(chips)']",57
IsSwitchedOn_computer & IsOn_waterglass_cabinet,"['Walk_waterglass', 'RightGrab_waterglass', 'Walk_computer', 'SwitchOn_computer', 'Walk_cabinet', 'RightPut_waterglass_cabinet']","['Walk_computer', 'SwitchOn_computer', 'Walk_cabinet', 'RightGrab_waterglass', 'RightPut_waterglass_cabinet']","['Walk', 'RightGrab', 'SwitchOn', 'RightPut']","['waterglass', 'computer', 'cabinet']",False,False,13,611,13,0.013485908508300781,64,6,"['Walk(computer)', 'SwitchOn(computer)', 'Walk(waterglass)', 'RightGrab(waterglass)', 'Walk(cabinet)', 'RightPut(waterglass,cabinet)']",249
IsOn_plate_nightstand & IsSwitchedOn_computer & IsNear_self_cutleryknife,"['Walk_plate', 'RightGrab_plate', 'Walk_computer', 'SwitchOn_computer', 'Walk_nightstand', 'RightPut_plate_nightstand', 'Walk_cutleryknife']","['Walk_cutleryknife', 'RightGrab_cutleryknife', 'Walk_nightstand', 'RightPut_cutleryknife_plate', 'Walk_computer', 'SwitchOn_computer']","['Walk', 'RightGrab', 'SwitchOn', 'RightPut']","['plate', 'computer', 'nightstand', 'cutleryknife']",False,False,14,642,14,0.0727548599243164,79,7,"['Walk(computer)', 'SwitchOn(computer)', 'Walk(plate)', 'RightGrab(plate)', 'Walk(nightstand)', 'RightPut(plate,nightstand)', 'Walk(cutleryknife)']",364
IsOn_juice_kitchentable & IsNear_self_sofa & IsOn_bananas_plate,"['Walk_bananas', 'LeftGrab_bananas', 'Walk_juice', 'RightGrab_juice', 'Walk_kitchentable', 'RightPut_juice_kitchentable', 'Walk_plate', 'LeftPut_bananas_plate', 'Walk_sofa']","['Walk_juice', 'RightGrab_juice', 'Walk_kitchentable', 'RightPut_juice_kitchentable', 'Walk_sofa', 'RightGrab_bananas', 'Walk_plate', 'LeftPut_bananas_plate']","['Walk', 'LeftGrab', 'RightGrab', 'RightPut', 'LeftPut']","['bananas', 'juice', 'kitchentable', 'plate', 'sofa']",False,False,27,1310,27,0.023511409759521484,108,9,"['Walk(bananas)', 'LeftGrab(bananas)', 'Walk(juice)', 'RightGrab(juice)', 'Walk(kitchentable)', 'RightPut(juice,kitchentable)', 'Walk(plate)', 'LeftPut(bananas,plate)', 'Walk(sofa)']",809
IsSwitchedOn_coffeemaker & IsOpen_stove,"['Walk_stove', 'Open_stove', 'Walk_coffeemaker', 'SwitchOn_coffeemaker']","['Walk_coffeemaker', 'SwitchOn_coffeemaker', 'Walk_stove', 'Open_stove']","['Walk', 'Open', 'SwitchOn']","['stove', 'coffeemaker']",False,False,8,409,8,0.008760452270507812,41,4,"['Walk(coffeemaker)', 'SwitchOn(coffeemaker)', 'Walk(stove)', 'Open(stove)']",131
IsSwitchedOn_computer & IsNear_self_chips & IsSwitchedOn_lightswitch,"['Walk_computer', 'SwitchOn_computer', 'Walk_lightswitch', 'SwitchOn_lightswitch', 'Walk_chips']","['Walk_computer', 'SwitchOn_computer', 'Walk_chips', 'RightGrab_chips']","['Walk', 'SwitchOn']","['computer', 'lightswitch', 'chips']",False,False,9,394,9,0.008587360382080078,61,5,"['Walk(lightswitch)', 'SwitchOn(lightswitch)', 'Walk(computer)', 'SwitchOn(computer)', 'Walk(chips)']",175
IsSwitchedOn_tablelamp & IsOpen_dishwasher,"['Walk_dishwasher', 'Open_dishwasher', 'Walk_tablelamp', 'SwitchOn_tablelamp']","['Walk_tablelamp', 'SwitchOn_tablelamp', 'Walk_dishwasher', 'Open_dishwasher']","['Walk', 'Open', 'SwitchOn']","['dishwasher', 'tablelamp']",False,False,8,377,8,0.007963418960571289,41,4,"['Walk(tablelamp)', 'SwitchOn(tablelamp)', 'Walk(dishwasher)', 'Open(dishwasher)']",131
IsOn_milk_plate & IsNear_self_Bench,"['Walk_milk', 'LeftGrab_milk', 'Walk_plate', 'LeftPut_milk_plate', 'Walk_Bench']","['Walk_milk', 'RightGrab_milk', 'Walk_plate', 'RightPut_milk_plate']","['Walk', 'LeftGrab', 'LeftPut']","['milk', 'plate', 'Bench']",False,False,6,7,6,0.001627206802368164,67,5,"['Walk(milk)', 'LeftGrab(milk)', 'Walk(plate)', 'LeftPut(milk,plate)', 'Walk(Bench)']",128
IsSwitchedOn_lightswitch & IsOn_juice_stove,"['Walk_lightswitch', 'SwitchOn_lightswitch', 'Walk_juice', 'LeftGrab_juice', 'Walk_stove', 'LeftPut_juice_stove']","['Walk_lightswitch', 'SwitchOn_lightswitch', 'Walk_juice', 'RightGrab_juice', 'Walk_stove', 'RightPut_juice_stove']","['Walk', 'SwitchOn', 'LeftGrab', 'LeftPut']","['lightswitch', 'juice', 'stove']",False,False,12,386,12,0.008753776550292969,75,6,"['Walk(juice)', 'LeftGrab(juice)', 'Walk(stove)', 'LeftPut(juice,stove)', 'Walk(lightswitch)', 'SwitchOn(lightswitch)']",236
IsNear_self_book & IsIn_chips_dishwasher & IsClose_dishwasher,"['Walk_chips', 'RightGrab_chips', 'Walk_dishwasher', 'Open_dishwasher', 'RightPutIn_chips_dishwasher', 'Close_dishwasher', 'Walk_book']","['Walk_dishwasher', 'Close_dishwasher', 'Walk_book', 'RightGrab_book', 'RightPut_book_dishwasher', 'Walk_chips', 'RightGrab_chips', 'RightPutIn_chips_dishwasher']","['Walk', 'RightGrab', 'Open', 'RightPutIn', 'Close']","['chips', 'dishwasher', 'book']",False,False,12,977,12,0.016584396362304688,66,7,"['Walk(chips)', 'RightGrab(chips)', 'Walk(dishwasher)', 'Open(dishwasher)', 'RightPutIn(chips,dishwasher)', 'Close(dishwasher)', 'Walk(book)']",294
